"T1_1h_R1";"T1_2h_R1";"T1_3h_R1";"T1_4h_R1";"T1_5h_R1";"T1_6h_R1";"T2_1h_R1";"T2_2h_R1";"T2_3h_R1";"T2_4h_R1";"T2_5h_R1";"T2_6h_R1";"T3_1h_R1";"T3_2h_R1";"T3_3h_R1";"T3_4h_R1";"T3_5h_R1";"T3_6h_R1";"T1_1h_R2";"T1_2h_R2";"T1_3h_R2";"T1_4h_R2";"T1_5h_R2";"T1_6h_R2";"T2_1h_R2";"T2_2h_R2";"T2_3h_R2";"T2_4h_R2";"T2_5h_R2";"T2_6h_R2";"T3_1h_R2";"T3_2h_R2";"T3_3h_R2";"T3_4h_R2";"T3_5h_R2";"T3_6h_R2"
"G31";-0.118536493958888;1.23291326547256;0.240352369668401;0.48686623034;-0.0161880883072212;0.18997799630916;0.880201076079483;3.04004375653142;3.44078944799066;2.91815238248273;2.90777299168145;2.62380963431872;0.634220239874489;3.35660860573461;3.72484012341994;2.5612107759078;2.46475734616844;2.19862875498832;-0.209504043251742;0.0799174116080419;0.649540829516289;0.121203336407384;0.190966975398508;0.390515617699532;1.29536497325012;3.07644537570303;3.45766362886763;2.32633763249709;2.10491835223533;2.11073796889652;1.34575913007507;3.16968455307975;3.71772252274492;2.1754259525497;2.47496115247894;2.39346379240245
"G32";-0.0837950029861128;0.489580755161105;-0.225847445764511;0.164432277163464;0.264029668068278;0.503042256908535;0.13539134063447;3.01857981011571;3.64475822557876;3.0966016415491;3.27595332491156;2.89406513024541;1.00861161592734;3.21450377241229;3.91036429299161;2.98431241890972;2.78539866330169;2.72766835437134;-0.00944241303083726;0.0330228065758305;0.463438997146179;-0.250626429721108;-0.451618249936017;0.0330321546584698;1.34482449392572;2.51903948796845;3.52472651161178;2.86097357090372;2.21105748839622;2.2290129662816;1.31110468690507;3.16240269068039;3.93082381692236;2.67166717928336;2.56064876787778;2.7501039450946
"G33";0.434941844503208;0.497370521222696;0.438153665643588;0.540138906887385;0.144570429490972;-0.040828455630777;0.885746478177197;3.42923056175976;4.17614077735095;3.9099580729735;3.69215365815772;2.66258903432189;1.28490827062138;3.84715840290719;4.32183304033715;3.89820567055791;3.66418593202529;2.68266595849539;0.0342066115742523;0.3305299053818;0.547905055014747;-0.0637828695342568;-0.404916483628042;-0.69928247249052;1.71232849363007;3.67913048846337;4.03108389841325;3.80085799154069;3.15696667519397;2.51018867604808;1.81006445593832;3.89132647938287;4.3203326862735;3.75364641812588;3.32413453128317;2.79611881877047
"G34";-0.812576874734662;-0.710581369512074;0.47188211585867;-0.225471096078373;-0.106045211853041;0.164679415219085;-0.0383545292933478;0.957993096799381;2.34666448434253;2.3917285019007;3.51563770573967;4.00764280475113;0.126995613754469;0.930222838961118;1.85356776545214;2.49003672745757;3.22693353554565;4.19639208063465;-0.553089087302312;0.664040473762581;0.492097926470561;1.59511435509322;0.333377599698109;1.32792642453388;-0.103039728337611;1.22229989000276;1.53626313586023;3.70443879333717;3.76714824153452;4.55185962622823;0.668433946271222;1.42537609605254;1.29216243938874;3.85048301488314;4.21759377697289;5.02684263033211
"G35";0.0256710125018449;0.343248306939794;-0.0841856704492517;1.25051408299351;0.322754642227668;-0.289064609232183;0.132559582580283;0.799152368623556;2.86494671938219;1.80959148950908;1.91465576391928;2.22172973093283;-0.103126942399221;0.612711913620563;2.42518987035101;2.79152783797887;2.70456037712971;2.36917587224886;0.0203227999508693;-0.404525229084396;0.17282931239766;-0.0798941140266923;0.42387560644358;0.0472026287190478;0.0151377701825496;0.0310350853539166;2.10900742634418;1.63625506084211;1.16155841398943;2.32812142191081;0.266886066153723;0.597760082284082;2.75606865146652;2.42301949279874;1.77995986312565;2.36009934321334
"G36";0.278578208651498;-0.31719255287237;0.450268492548412;0.171874713941099;0.429103839802257;0.212525657721366;0.88399322531754;1.92855829800201;2.1987447912617;1.96397822828496;2.3508308509697;2.86445766767268;0.891571688500867;2.03075466121676;2.082816327126;1.94999955164419;2.69938904250666;2.55096619325446;0.184302286988547;-0.176834740032175;-0.395917442648704;0.0556310326837344;0.127393923930668;0.0701396381582966;0.876492644646261;2.24370105442672;2.09138920800932;1.70652083604479;1.81014192933204;2.46952243876935;0.712592432483111;2.16244848909975;1.92305734283703;1.99468192485676;2.45109677985045;2.85172769965082
"G37";0.177986035465164;-0.0663804369707943;-0.401403543003927;-0.093102990335471;-0.200937207131516;-0.361064943424978;0.0134330089916799;-1.01657792460497;-3.04512497739477;-2.65388383652566;-2.45095057196539;-2.81047541988051;0.157348062844537;-1.54960819847565;-2.29535602839602;-3.31413286528115;-2.9456977033605;-2.67168651384876;-0.257633677701713;-0.164391507791891;-0.320742586494197;-0.169115579665532;0.114044801040856;0.411171977501871;-0.387498013316713;-1.65392662138676;-1.87491800188288;-3.12082684331683;-2.60190835569899;-2.96766509888668;-0.543224558999736;-1.82424751571047;-2.30834000770983;-2.78165839891378;-3.38750705539425;-3.77932008059752
"G38";0.0941665825880564;-0.0806194747503124;-0.234255610562804;0.241794840092155;-0.25466187689578;-0.372841986294238;0.213499281132278;1.30736956329888;2.12436121892025;2.34994518084848;2.35035895322916;2.54473084112224;0.440293126738222;1.43175692110184;1.8154013848667;2.49361337145717;2.49602933622378;2.1167643703188;-0.0298759022605921;-0.0503847467305887;0.223718721568225;-0.328662591334853;-0.303430320173518;-0.368038926849982;0.214739968759931;1.27936837970946;1.82523549688126;2.03732476684273;2.32035544183078;2.36304832478809;0.441906754587563;1.29431690399198;1.8801331371242;2.35274488554169;2.30572021607014;2.09768479547469
"G39";-0.280881102551893;-1.8693117575503;-0.586767232281597;-1.93417721419539;-0.990926637538618;-0.158422179432624;-0.937960380510595;-3.16279006212837;-3.6957344860902;-3.65688978076448;-2.81537851837453;-3.79751763548681;-1.45238385575467;-2.94854362794816;-3.47876466776354;-3.09011642407496;-2.45035645898337;-2.79684715238335;0.0274417223364125;-0.36737346390056;-1.19172074881621;-0.134675846077803;-1.41431679606392;-0.747193074242948;-0.632118406673686;-2.50874919850109;-3.9291846391973;-3.78806630696012;-1.54143690773963;-2.92508586210757;-0.321673127020333;-2.62572161415486;-3.96779431037238;-3.22214445685042;-2.25403797984552;-3.15665478728098
"G40";0.0478718697428571;0.19647304909206;0.177449380022468;0.295108050040259;-0.0944965313438768;-0.149373946094522;0.206281512757443;1.02079706995346;1.57826179685165;1.85314899333624;1.7853697800001;2.15636226802571;0.22685167305461;1.13922177576131;1.56857861175613;1.8825987725225;1.91593375028464;2.01752862895567;0.054265066075998;-0.0516737622353007;0.234781827026184;-0.251808084806447;-0.359156918314368;-0.534225257326606;0.252149571323716;1.20093342189265;1.40634436963056;1.66178392126554;1.81121370254643;1.98131565876941;0.226065486444994;1.27799520505015;1.6471907766637;1.76577749897197;1.88073965018684;2.01216970676104
